KEY,Q1A,Q1B,Q2,Q3A,Q3B,Q4,Q5,Q6,Q28,Q41,Q43
183113589,3,40,2,1980,4,2,2,thợ may,không có,"nhiều chương trình ưu đãi, mua 1 túi nước giặt của winmart được tặng 1 túi",tích điểm sau mỗi lần mua sắm
183164511,2,66,2,2004,1,1,2,sinh viên,"có đa dạng nhiều mặt hàng hơn, giá thấp hơn",,
183166327,3,41,2,1997,2,1,2,nhân viên văn phòng,đa dạng các mặt hàng hơn: đồ ăn vặt nên đa dạng hơn,có các ưu đãi khuyến mãi hấp dẫn hơn,chương trình khuyến mãi hấp dẫn
183166564,2,66,2,1985,3,2,3,nội trợ,không có ý kiến,,
183167004,2,66,2,1990,3,2,2,Công Nhân,không có.,,
183167005,2,66,2,1988,3,2,3,Nhân Viên Văn Phòng,không có.,,
183167883,3,41,2,1991,3,2,3,kế toán công ty văn phòng phẩm,không có,mua nhiều sản phẩm được tích điểm nhiều hơn,được tích điểm để trừ tiền cho lần sau khi mua hàng
183168842,2,66,2,1982,4,2,3,nội trợ,"nên có nhiều chương trình khuyến mãi, giảm giá",,
183169595,3,40,1,1994,2,2,3,lái xe,không có,,
183169912,3,25,2,2004,1,1,2,sinh viên,"có lúc sản phẩm có vị mặn, có lúc đông chờ thanh toán lâu nên có thêm quầy thanh toán khi đông",chương trình ưu đãi tích tem nhận quà khiến tôi muốn mua nhiều lần để tích tem đổi quà,"chương trình ưu đãi nhiều, dễ dàng thực hiện"
183170045,3,40,1,2008,1,1,2,học sinh,nhân viên phục vụ thêm 1 bạn đứng quầy để khi đến dễ dàng hỏi về các mặt hàng,,
183170150,2,66,2,2000,2,1,2,nvvp,không có,,
183170164,2,66,1,2000,2,1,3,sinh viên,không có,,
183171342,2,66,2,1996,2,2,3,nội trợ,"giá thấp hơn , có nhiều mặt hàng để lựa chọn",,
183171343,2,66,2,1991,3,2,2,công nhân,nên có nhiều chương trình khuyến mãi hơn,không có nhiều khuyến mãi hấp dẫn dành riêng cho khách hàng thân thiết như tôi,"dễ đăng ký , cửa hàng gần nơi tôi làm việc thuận tiện để đi"
183171344,2,66,2,2005,1,1,2,bán quần áo,ko co,,
183171345,2,66,2,1981,4,2,1,công nhân,giảm giá sản phẩm,,
183172040,3,25,2,1997,2,2,3,Tự Kinh doanh,Không có,,
183172358,1,13,2,2004,1,1,1,sinh viên,"đa dạng mặt hàng hơn, có nhiều hàng hoá để lựa chọn hơn",,
183172672,2,66,2,1993,3,1,3,công nhân,có nhiều chương trình khuyến mãi hơn,,
183172673,2,66,1,1997,2,1,3,công nhân,có chỗ ngồi lại vào buổi tối,,
183173206,2,66,2,1995,2,1,1,tự kinh doanh,không có,,
183173390,1,13,1,2002,2,1,1,sinh viên,cần dọn dẹp vệ sinh thường xuyên hơn ở khu vực ăn uống,như cầu mua hàng không thay đổi,các chương trình khuyến mại và mã giảm giá
183173741,2,66,1,2003,2,1,3,sinh viên,không có,nhận được nhiều chương trình khuyến mãi hơn,"gần nhà, tiện lợi, giá cả hợp lý"
183175183,3,40,2,1978,4,2,2,kinh doanh quần áo,"mặt hàng vệ sinh cá nhân như kem đánh răng, bănb vệ sinh cần nhiều nhãn hiệu hơn cho khách hàng lựa chọn","mua nhiều sản phẩm của winmart được cộng điểm , mình tích và có thể qui đổi ra tiền mặt","nhiều ưu đãi cho khách hàng , nhiều mặt hàng mua 1 tặng 1 như nước giặt, sữa tươi"
183176449,2,66,1,1978,4,2,4,nhân viên văn phòng,có thêm chỗ đâụ xe,,
183176450,2,66,2,1987,3,2,3,nhân viên văn phòng,có nhiều chỗ ngồi lại hơn,,
183180881,1,12,2,1987,3,2,1,tự kinh doanh,không có,,
183183373,1,7,2,2001,2,1,1,sinh viên,"đa dang các món ăn nhanh, giá cả rẻ hơn giá hiện tại",có nhu cầu mua sắm thì tôi mới đến chứ không bị chương trình khách hàng thân thiết,có tích điểm và được trừ vào hóa đơn mua hàng
183183374,1,7,1,1992,3,2,2,công nhân,"đa dạng các nhãn hiệu  hàng tiêu dùng, có giảm giá trực tiếp trên sản phẩm",,
183183375,1,7,1,1986,3,2,2,công nhân,"bán  nhiều mặt hàng thực phẩm tươi sống,  có độ tươi hơn, có quầy để khách hàng tự lựa chọn số lượng cần dùng",được tích lũy điểm để đổi quà  mỗi lần mua nên tôi ghé thường hơn mỗi khi cần mua sắm cho gia đình,"có tích lũy điểm thưởng, mua hàng giá đặc biệt khi mua đủ số tiền mà chương trình yêu cầu"
183183595,2,66,2,1998,2,1,2,NVVP,không có,,
183183619,2,66,2,1990,3,2,3,nhân viên văn phòng,không có,,
183183621,2,66,1,2008,1,1,3,học sinh,không có,,
183183748,1,7,2,2003,2,1,1,sinh viên,"có nhiều chương trình giảm giá, khuyến mãi",,
183183749,1,7,1,1998,2,1,1,cho thuê dàn nhạc,thức ăn  chế biến sẵn có giá bán thấp hơn tầm 10 15% giá hiện tại,,
183183750,1,7,1,1989,3,2,2,tài xế,không gian của cửa hàng cần rộng rãi hơn,,
183188295,2,66,2,1969,5,2,1,Buôn Bán Nhỏ,không có,,
183188316,1,12,1,1973,5,2,2,buôn bán chim cảnh,không cần,,
183189631,3,53,1,1978,4,2,3,nhân viên văn phòng,không có,"nhu cầu sử dụng của gia đình nhiều hơn, có thêm thành viên mới",tích điểm sau mỗi lần mua hàng để được giảm giá khi mua hàng
183194421,3,25,2,1972,5,2,3,nội trợ,"không có bãi để xe, không có người trông xe",số điểm đổi ra số tiền tương ứng ít không đáng kể nên không khuyến khích tôi,"cửa hàng có nhiều điểm nên tiện đi lại, trang trí và hàng bày trên giá dễ tìm hàng mình cần"
183221871,2,66,2,1978,4,2,4,kinh doanh kính,khong co,,
183222559,4,55,2,1984,3,2,3,giữ trẻ,nhiều mặt hàng tiêu dùng hơn,,
183223082,4,55,2,2004,1,1,1,sinh viên,"cho giá vừa phải xún một chút, để phù hợp với học sinh và sinh viên",,
183223121,2,66,2,1999,2,1,3,nhân viên văn phòng,không có,đuọc áp dụng tích điểm mua hàng giảm giá,"cửa hàng sạch sẽ, sản phẩm chất lượng"
183224253,3,53,2,2004,1,1,3,sinh viên,không có,"được giảm giá, được hưởng ưu đãi nhiều hơn trên tổng số tiền chi nên tôi mua hàng nhiều hơn",được hưởng chương trình giảm giá trên tổng hóa đơn mua hàng
183224267,4,56,2,1991,3,2,3,nhân viên văn phòng,có thêm nhiều hình thức thanh toán như quét Vnpay  thực phẩm đa dạng hơn  nhân viên phục vụ chuyên nghiệp hơn,,
183224388,4,56,2,1984,3,2,3,kế toán,"có nhiều hình thức thanh toán như quẹt thẻ, quét mã QR cần được phổ biến hơn tại cửa hàng tạp hóa để thuận tiện hơn.","cảm nhận được giá trị từ việc tích điểm: có giảm tiền trong tổng hóa đơn thanh toán, nhưng giảm không nhiều nên số tiền chi tiêu vaqnx không thay đổi.","có tích điểm và giảm giá trực tiếp trên hóa đơn thanh toán.  nhân viên bán hàng thân thiện, hòa đồng"
183224538,4,55,1,2005,1,1,3,học sinh,không có,,
183224570,4,55,2,1992,3,2,1,nhân viên văn phòng,thời đại kinh tế khó khăn nên giảm giá thành lại để phù hợp với yêu cầu của mọi người hơn,,
183224698,3,41,1,1996,2,1,3,nhân viên IT,không có,,
183224699,3,41,2,1982,4,2,2,Nội trợ,không có,,
183224993,3,25,1,2003,2,1,3,sinh viên,"nên có thêm quầy thanh toán giờ cao điểm, chỗ ngồi rộng rãi hơn","vì chương trình tích điểm mua hàng, khi mua nhiều lần tôi sẽ nhanh đạt được khuyễn mại hơn",quà khuyến mại được nhận là loại đồ uống mà tôi hay sử dụng
183225344,4,55,2,1997,2,1,2,nvvp,thanh toán nhanh hơn,,
183225505,3,41,2,2006,1,1,3,học sinh,"giá phù hợp hơn, có nhiều chương trình mua 1 tặng 1","có nhiều khuyến mãi, tích điểm nên em chi tiêu nhiều hơn cho mỗi lần đi mua",chương trình tích điểm hấp dẫn
183225661,2,66,2,1982,4,2,1,Làm tự do,không có,,
183226102,3,41,1,1981,4,2,3,nhân viên văn phòng,thêm nhiều chương trình khuyến mãi hơn,"có khuyến mãi hấp dẫn, mua nhiều thì được tích điểm nhiều hơn",chương trình tích điểm hấp dẫn
183226157,3,25,2,1994,2,2,2,Nhân viên văn phòng,Không có,tôi tới mùa hàng thường xuyên hơn vì muốn xem có mặt hàng khuyến mãi phù hợp với nhu cầu thì sẽ mua,"cửa hàng có không gian hiện đại, nhân viên thân Thiện, nhiệt tình, đa dạng mặt hàng"
183226185,2,66,1,1994,2,1,2,Công Nhân,không có,,
183226653,2,66,2,2004,1,1,1,Học Sinh,không có,,
183226833,4,61,2,1988,3,2,2,công nhân,nên có nhiều quầy thanh toán để không phải chờ lâu,,
183227210,4,55,2,1991,3,2,2,chủ tiệm nail,"giá thành thấp xún 1 chút để dễ mua hơn,",,
183227502,3,25,1,1990,3,2,3,nhân viên Văn phòng,Không có,,
183227503,3,25,1,1985,3,2,3,Lao động tự do,Không có,,
183227725,4,61,1,2004,1,1,3,sinh viên,"không có , tôi hài lòng",VÌ TÔI KHÔNG NHẬN ĐƯỢC ƯU ĐÃI KHI THAM GIA CHƯƠNG TRÌNH,NHÂN VIÊN PHỤC VỤ KHÁCH HÀNG TỐT
183227726,4,61,1,1999,2,1,3,NHÂN VIÊN VĂN PHÒNG,CÓ THÊM NHÂN VIÊN TÍNH TIỀN ĐỂ RÚT GỌN THỜI GIAN MUA HÀNG,,
183227841,3,25,1,2004,1,1,2,sinh viên,không có,,
183228000,4,61,1,2000,2,1,3,sinh viên,CÓ THÊM NHIỀU MÁY TÍNH TIỀN HƠN ĐỂ TRÁNH MẤT THỜI GIAN CỦA KHÁCH HÀNG,,
183228001,4,61,1,1998,2,1,3,nhân viên văn phòng,CÓ THÊM QUẦY THANH TOÁN TỰ ĐỘNG,tôi muốn tích điểm nhiều hơn để đổi quà,TÍCH ĐIỂM DỂ DÀNG
183228167,4,55,1,1994,2,2,2,nhân viên văn phòng,lấy thêm nhiều mặt hàng về để có thể dể dàng mua sản phẩm hơn,,
183228903,1,13,2,1981,4,2,1,nội trợ,giá cả: giá hơi cao so với các tạp hoá bên ngoài,,
183229665,3,41,1,1989,3,2,2,công nhân,giá sản phẩm hơi cao nên cần giảm giá hoặc thêm một vài khuyến mãi,"được tham gia chương trình tích điểm,mua hàng với giá hấp dẫn hơn",chương trình tích điểm cho khách hàng
183229866,3,41,1,1995,2,1,2,nhân viên văn phòng,"giá thấp hơn, đa dạng các chương trình khuyến mãi như mua 2 giảm giá 5000vnd. mua 3 tặng 1",chương trình tích điểm khi mua hàng rất hấp dẫn nên em mua nhiều hơn,chương trình tích điểm
183229948,3,25,2,1975,4,2,3,nhân viên văn phòng,"nên có thêm nhân viên thanh toán khi cửa hàng đông, món ăn sẵn có lúc hơi mặn nên chú ý gia vị nêm nếm",vì mỗi lần chi tiêu nhiều hơn sẽ được tích nhiều điểm hơn để trừ chiết khấu nhiều hơn,"chương trình dễ dàng đạt được ưu đãi, nhân viên thực hiện nghiêm túc"
183230103,4,61,2,1997,2,1,3,nhân viên văn phòng,không có,,
183230145,3,53,2,1973,5,2,2,nhân viên văn phòng,"giảm giá mặt hàng tiêu dùng hàng ngày như xà phòng giặt, gạo, ...",phần trăm chiết khấu trên tổng hóa đơn thấp nên không ảnh hưởng đến việc mua hàng của tôi,chương trình giảm giá trên hóa đơn dễ đạt được
183230563,4,61,1,2001,2,1,1,nhân viên văn phòng,"đóng cửa trể hơn một xíu, vì tôi hay đi về trể lúc cần mua đồ lại đóng cửa mất",,
183230564,4,61,2,2001,2,1,1,sinh viên,không có,,
183230565,4,61,2,1990,3,2,2,kế toán,các món ăn liền nên đa dạng hơn và giá rẻ hơn một chút,,
183230651,4,56,2,1974,4,2,3,cho thuê phòng trọ,"giới hạn hình thức thanh toán, hầu hết ở tạp hóa chỉ nhận tiền mặt",,
183231016,4,55,1,2004,1,1,2,sinh viên,không có,,
183231215,2,66,1,1982,4,2,2,chủ buon bán điện lạnh,giảm giá sản phẩm,,
183231216,2,66,2,1997,2,1,1,nhân viên văn phòng,thức ăn làm ngon hơn đậm đà hơn,,
183231217,2,66,1,1996,2,1,1,nhân viên bán hàng,ko co,,
183231218,2,66,1,1985,3,2,2,nhân viên văn phòng,ko co,,
183231219,2,66,1,1977,4,2,2,chủ bán điện thoại,ko co,,
183232104,4,55,2,1974,4,2,1,buôn bán,không có,,
183232401,3,40,1,1978,4,2,3,tự kinh doanh,Không có,,
183233371,4,61,2,1982,4,2,2,công nhân,"không có , tôi hài lòng",,
183234177,3,41,1,1982,4,2,3,Kinh doanh xe đạp,"có thêm nhiều mặt hàng đa dạng như bánh kẹo, sữa",có nhiều sản phẩm khuyến mãi nên tôi mua nhiều sản phẩm hơn,"được tích điểm khi mua hàng, điểm tích được dồn vào tài khoản khách hàng trừ tiền mua sản phẩm cho những lần sau"
183234178,3,41,1,2002,2,1,2,sinh viên,không có,khi mua đủ số lượng sản phẩm của chương trình đề ra được tặng thêm sản phẩm cùng loại,được giảm giá sản phẩm khi mua hàng
183234179,3,41,2,2005,1,1,2,học sinh,"có nhiều hình thức thanh toán khi mua hàng tại cửa hàng tiện lợi như quét momo, quét mã QR",mua sắm nhiều sản phẩm vì có nhièu chương trình khuyến mãi hơn sau khi đăng kí làm khách hàng thân thiết,được giảm giá khuyến mãi khi mua sản phẩm
183234184,3,41,1,2005,1,1,2,học sinh,thêm các chương trình khuyến mãi giảm giá sản phẩm,tôi tới thường xuyên hơn nhưng các sản phẩm ưu đãi giảm giá không phù hợp với nhu cầu sử dụng của tôi nên tôi không mua,"có nhiều chương trình ưu đãi, giảm giá sản phẩm, mua 2 tặng 1 cho sản phẩm cùng loại"
183234185,3,41,2,1993,3,2,3,nhân viên văn phòng,có thể thanh toán bằng cách chuyển khoản tôi thấy nhanh và tiện lợi hơn,"chi tiêu nhiều khi mua sản phẩm sẽ được tích nhiều điểm thưởng, điểm thưởng được quy đổi thành tiền mặt cho những lần mua sau","điểm thưởng tích sau mỗi lần mua hàng được quy đổi thành tiền mặt, được trừ cho lần mua hàng sau"
183234186,3,41,1,2006,1,1,3,học sinh,có các chương trình giảm giá khi mua sản phẩm,chương trình khuyến mãi tặng sản phẩm hay giảm giá trên sản phẩm không phù hợp với nhu cầu của em nên em không mua,khi là khách hàng thân thiết của Circle K khách hàng được giảm giá tiền khi mua trên hóa đơn theo chương trình đề ra
183234792,3,25,1,2002,2,1,2,sinh viên,"có thêm các chương trình giảm giá, có thêm chỗ ngồi ăn",,
183236079,4,55,2,1988,3,2,2,kế toán,"không đa dạng các mặt hàng hóa ,",,
183237770,4,61,2,1986,3,2,2,công nhân,"không , tôi hài lòng",,
183240202,4,59,2,2004,1,1,3,sinh viên,"nên có nhiều mặt hàng cần có nhiều thương hiệu hơn để chọn lựa, vì siêu thị mini và tạp hóa có mặt bằng nhỏ nên sự đa dạng sản phẩm còn hạn chế",,
183240927,2,66,1,1986,3,2,1,công nhân,không có,,
183240928,2,66,1,1972,5,2,1,công nhân,không có,,
183240929,2,66,2,2005,1,1,1,học sinh,không có,ít ưu đãi cho khách hàng thân thiết,"cửa hàng sạch sẽ , nhân viên thân thiện"
183240930,2,66,1,1996,2,1,1,nvvp,không có,,
183240931,2,66,2,1980,4,2,1,nội trợ,không có,,
183240932,2,66,2,1995,2,2,1,nội trợ,không có,,
183241714,4,59,1,1981,4,2,3,thợ điêu khắc đá mỹ nghệ,"hàng hóa trưng bày , bày bán dễ tìm mua và dễ lấy hơn",,
183242911,2,66,2,1978,4,2,2,Tự kinh doanh,thêm một vài loại thịt cá tươi sống.,cảm thấy chưa có ưu đãi gì đặc biệt cho khách hàng thân thiết nên cũng không mua sắm nhiều.,"dễ đăng ký chương trình khách hàng thân thiết, Nhân viên hướng dẫn nhiệt tình.  dễ dàng tích điểm"
183242912,2,66,2,1985,3,2,2,NVVP,không có,,
183242913,2,66,1,1980,4,2,2,Công nhân,không có,,
183243053,1,4,2,1984,3,2,1,làm tóc,thời gian thanh toán nhanh hơn,,
183243054,1,4,1,2002,2,1,1,thất nghiệp,ko có,,
183243055,1,4,2,1974,4,2,2,nội trợ,ko,,
183243056,1,4,2,2002,2,1,2,nhân viên văn phòng,ko,,
183243057,1,4,2,1971,5,2,2,nội trợ,ko,,
183243224,1,23,1,2008,1,1,1,học sinh,không có,,
183243225,1,23,2,1966,5,2,1,bán quần áo,"đa dạng hàng hóa về bánh kẹo, sữa trẻ em",,
183243310,2,66,2,1972,5,2,3,bán đồ ăn,có thêm nhiều chương trình khuyến mãi,,
183243311,2,66,1,1990,3,2,3,công nhân,có chỗ ngồi lại vào buổi tối,,
183243312,2,66,1,2004,1,1,3,sinh viên,cải thiện hương vị thức ăn nhanh ngon hơn  thanh toán mau lẹ hơn,,
183243313,2,66,2,1997,2,1,3,công nhân,không có,,
183243314,2,66,1,1980,4,2,4,lao động tự do,không có,,
183243315,2,66,2,1980,4,2,4,thợ may,có nhiều trương trình giảm giá hấp dẫn  có nhiều món ăn đa dạng hơn,,
183245798,3,40,2,1980,4,2,3,Nhân viên Văn phòng,Không có,,
183245799,3,40,2,1986,3,2,3,Nhân viên Văn phòng,Không có,,
183245911,4,59,2,1992,3,2,2,chăm sóc trẻ sau sinh,nên có nhiều hình thức thanh toán hơn ở cửa hàng tạp hoá,,
183245912,4,59,1,1998,2,1,3,nhân viên văn phòng,"thanh toán nhanh hơn,nhiều mặt hàng có sẵn",giảm tiền tích điểm,hoá đơn mua hàng được tích điểm
183246603,3,40,1,1988,3,2,3,nhân viên văn phòng,không có,,
183247289,3,40,1,1996,2,1,4,thợ tóc,diện tích cửa hàng cần rộng hơn để khi vào lấy đồ dễ dàng hơn,,
183247494,3,25,1,1992,3,2,3,Nhân viên văn phòng,"nên bán đa dạng mặt hàng hơn, nên bán nhiều sản phẩm của việt nam hơn",,
183247698,1,13,2,1983,4,2,1,nội trợ,không có,,
183247699,1,13,2,1985,3,2,1,nội trợ,thêm đa dạng mặt hàng nhiều hơn để có thể lựa chọn,,
