KEY,Q1A,Q1B,Q2,Q3A,Q3B,Q4,Q5,Q6,Q28,Q41,Q43
183249059,1,23,2,1986,3,2,1,Nội Trợ,"Cần thêm nhân viên tính tiền cho nhanh , chậm chờ hơi lâu",,
183250608,4,61,2,1973,5,2,2,công nhân,"không có , tôi hài lòng",,
183254293,3,25,2,1982,4,2,3,công nhân,khu vực để xe không có hoặc nhỏ hoặc không có người trông xe,vì chương trình tích điểm qui đổi thành tiền mặt nên tôi muốn mua nhiều để tích nhiều điểm,"chương  trình thực tế, nhân viên thực hiện nghiêm túc"
183254311,3,53,2,2003,2,1,3,sinh viên,không có,,
183254312,3,53,1,1984,3,2,3,lao động tự do,có thêm nhiều mặt hàng tiêu dùng được bày bán,chương trình chiết khấu giảm giá chưa cao nên khi mua hàng tôi thấy không được giảm giá nhiều nên tôi mua không thay đổi,được đánh giá trên cơ sở giảm giá các mặt hàng tươi sống
183254313,3,53,1,1994,2,1,3,nhân viên văn phòng,cửa hàng có nhà vệ sinh,,
183255404,3,25,2,1990,3,2,2,kế toán,không có,tích điểm vào thẻ thành viên và đổi thành tiền trừ khi mua hàng khiến tôi muốn mua nhiều,"chương trình đổi điểm thực tế, dễ dàng nhận điểm, tích điểm trên thẻ"
183272727,3,40,2,1974,4,2,3,công nhân môi trường,không có,,
183273196,3,54,2,1977,4,2,2,thợ may,"khu vực kệ hàng cần rộng hơn, khi mua sắm thoải mái và không bị bí , nóng",,
183274103,3,54,2,2001,2,1,3,sinh viên,không có,,
183276063,2,66,1,1972,5,2,4,kinh doanh sắt,không co,,
183276064,2,66,1,1990,3,2,3,nhân viên kỹ thuật,khong co,,
183277448,4,55,1,2004,1,1,1,lao động tự do,không có,,
183279113,1,7,2,2001,2,1,1,nhân viên sale bất động sản,không cần,,
183279114,1,7,2,1999,2,1,1,bảo mẫu mầm non,không cần,,
183282067,2,66,1,1989,3,2,4,nyan vien van phong,không co,,
183282068,2,66,2,2005,1,1,2,đi học,không có,,
183282417,4,56,2,1975,4,2,1,tạp vụ,không có,,
183282418,4,56,1,1981,4,2,1,thợ nề,không có,,
183282419,4,56,2,1986,3,2,1,công nhân,không có,,
183282420,4,56,1,2008,1,1,1,học sinh,cần có nhiều mặt hàng hóa dễ mua hơn,,
183282529,2,66,2,2006,1,1,3,di học,không co,,
183283507,1,6,1,2006,1,1,1,học sinh,nhân viên vui vẻ hơn,,
183283906,1,22,1,1995,2,1,2,shiper,có nhiều bàn ghế để ngồi hơn,,
183283907,1,23,1,2003,2,1,1,sinh viên,không có,,
183284549,2,66,2,2000,2,1,3,công nhân,khônh co,,
183285143,3,40,2,1996,2,2,2,Nhân viên Văn phòng,Không có,,
183285146,3,45,2,1980,4,2,3,giáo viên,"giá hấp dẫm hơn, có nhiều khuyến mãi mua 2 tặng 1","vì có chương trình tích điểm, mua sản phẩm với giá hấp dẫn hơn",chương trình tích điểm hấp dẫn
183285218,3,45,2,1995,2,2,2,kế toán,"thêm nhiều khuyến mãi hấp dẫn như giảm giá, mua 2 tặng 1",có nhiều khuyến mãi hấp dẫn các mặt hàng thực phẩm. chương trình tích điểm khi mua hàng,chương trình tích điểm hấp dẫn
183285398,4,59,1,2006,1,1,2,học sinh,có nhiều hình thức thanh toán hơn và đa dạng mặt hàng,,
183285590,1,4,2,2000,2,1,3,nhân viên văn phòng,ko,,
183285591,1,13,2,1980,4,2,3,nội trợ,tăng thêm quầy tính tiền để giúp rút ngắn thời gian chờ đợi đến lượt tính tiền,,
183285592,1,13,2,1994,2,2,3,nội trợ,ko,,
183285883,3,45,2,2000,2,1,2,nhân viên bán quần áo,"thêm các khuyến mại hấp dẫn hơn như mua 3 tặng 1, thêm nhiều chỗ ngồi ăn tại chỗ hơn","có chương trình tích điểm khi mua hàng hấp dẫn, có nhiều ưu đãi khuyến mãi khi là khách hàng thân thiết",chương trình khuyến mãi
183285973,3,53,2,1981,4,2,2,giáo viên,không có,,
183285974,3,53,2,2005,1,1,3,học sinh,"có thêm các chương trình khuyến mãi như giảm giá sản phẩm , mua 2 sản phẩm tặng 1 sản phẩm",,
183285975,3,41,2,1988,3,2,3,Nhân viên kế toán,"có thêm nhiều mặt hàng đồ ăn liền, ăn vặt                      không có",,
183285976,3,53,2,1991,3,2,3,kinh doanh quần áo,có thêm nhiều hình thức thanh toán như chuyển khoản  có nhiều chương trình giảm giá sản phẩm hơn,mua nhiều sản phẩm hơn khi có chương trình khuyến mãi,được tích điểm mỗi lần mua hàng
183286066,1,23,1,1997,2,1,1,Tự do làm nghề sản xuất inox tại nhà,Không có,,
183286067,1,23,2,1965,5,2,1,Giữ trẻ,"Đa dạng mặt hàng nhiều hơn , như mì gói thì có thêm nhiều nhản hiệu khác cho phong phú",,
183286105,4,59,2,1997,2,1,3,spa,"chỗ đậu xe không an toàn,quán chật hẹp,có 1 số món cần mua bị hết hàng",,
183288785,2,66,1,1990,3,2,1,thợ điện máy,ko co,,
183288786,2,66,1,2004,1,1,1,sinh viên,ko co,,
183288787,2,66,2,1988,3,2,1,nội trợ,có thêm nhiều chương trình khuyến mãi hấp dẫn hơn,,
183288788,2,66,2,1984,3,2,1,nội trợ,"thực phẩm tươi sạch , đa dạng sản phẩm để lựa chọn",,
183288789,2,66,2,2005,1,1,1,học sinh,ko co,,
183289646,4,59,2,1983,4,2,3,kính doanh tự do,"cần nhiều hình thức thanh toán và hàng hoá đầy đủ ,không có nhiều chỗ đậu xe cần chỗ đậu xe rộng hơn",,
183291319,4,59,2,1979,4,2,3,giáo viên,"thời gian chờ thanh toán quá lâu,nên có nhiều chương trình khuyêns mãi",,
183291373,3,40,1,2004,1,1,3,sinh viên,Không có,,
183291408,4,55,1,1994,2,1,1,nhân viên văn phòng,không có,,
183292314,4,59,1,2005,1,1,3,học sinh,"không có nhiều hình thức thanh toán để lựa chọn,cần có nhiều chương trình khuyến mãi được phổ biến rộng rãi",,
183294367,4,61,1,1999,2,1,3,bán điện thoại,không có,,
183296693,4,61,1,1989,3,2,3,công nhân,Không có,,
183296694,4,61,1,1982,4,2,2,làm tự do,nên có nhiều quầy thanh toán hơn,,
183296794,2,66,2,1976,4,2,2,bán quần áo,không có,,
183296795,2,66,1,1996,2,1,1,công nhân,không có,,
183296796,2,66,2,1986,3,2,2,nvvp,không có ý kiến,,
183296797,2,66,1,1984,3,2,1,công nhân,không có,,
183296798,2,66,2,2001,2,1,1,sinh vien,không có,do nhu cầu mua hàng cũng không thay đổi,"nhân vien vui vẻ, niềm nở  sạch sẽ thoáng mát khi bước vào"
183296799,2,66,1,2000,2,1,1,nvvp,không có,,
183297253,1,6,2,1978,4,2,1,buôn bán cafe,khong cần,,
183297254,1,6,2,1982,4,2,1,làm công ăn lương,khong cần,,
183297255,1,6,2,1985,3,2,1,công nhân,"bán nhiều mặt hàng hơn ,khong để hết kgi khách đến",,
183297256,1,6,1,1975,4,2,1,thợ máy,"có nhiều đồ ăn ngon ,giá họp lý",,
183297513,1,7,2,1972,5,2,1,nội trợ,không cần,tôi đến bách hóa xanh để mua sắm khi cần thiết chứ không vì  ưu đãi của chương trình khách hàng thân thiết,có mua được hàng giảm giá sốc khi bill đạt số tiền qui định . tích điểm để trừ vào hóa đơn cho lần sau
183297993,3,45,1,1991,3,2,3,nhân viên văn phòng,thêm hình thức thanh toán chuyển khoản hoặc mã QR,,
183298009,3,45,1,2005,1,1,2,học sinh,"giá thấp hơn,thêm khuyến mãi nhiều hơn",,
183298010,3,45,1,1987,3,2,3,giáo viên,"thêm các chương trình khuyến mãi hấp dẫn, giảm giá hoa quả khi cuối ngày",,
183298712,3,54,2,1991,3,2,3,kế toán,nhân viên thu ngân cần niềm nở với khách hàng hơn,"có nhiều chương trình giảm giá, mua nước giặt mua 1 tặng 1, sữa tươi mha 1 tặng 1","được mua sản phẩm giảm giá , cộng điểm thưởng vào thẻ"
183298915,4,61,1,1990,3,2,1,nhân viên văn phòng,thanh toán nhanh hơn hoặc thêm quầy thanh toán,tôi chỉ đi mua thứ tôi cần nên không thay đổi thói quen mua sắm,tích điểm giảm giá   mua hàng với giá thành viên
183299420,1,7,1,1995,2,1,2,nhân viên văn phòng,không có,,
183299677,1,12,1,1987,3,2,3,kinh doanh,"dịch vụ chăm sóc khách hàng tốt hơn tính tiền nhanh, nhiều khuyến mãi, giá cạnh tranh,",,
183299678,1,12,1,2000,2,1,2,cong nhân,quầy thu tính tiền nhanh hơn,,
183299679,1,12,2,1988,3,2,2,may mặc,nhiều mặt hàng thực phẩm hơn nữa,"tích điểm mua nhiều thì được quy đổi ra quà , khuyến mãi nhiều hơn","sản phẩm chất lượng , giá tốt"
183299680,1,12,2,1977,4,2,1,mầm non,nhiều mặt hàng tiêu dùng và thực phẩm đa dạng hơn,"nhiều mặt hàng giảm giá, dễ mua, mua nhiều được tích điểm đổi quà va giảm giá nhiều hơn",nhiều mặt hàng giảm giá và tích điểm để có nhiều ưu đãi
183299681,1,12,2,1985,3,2,1,may mặc,"nhiều món ăn sẵn ngon hơn,",,
183299939,2,66,1,1987,3,2,2,NVVP,không có,,
183300545,3,53,1,1994,2,2,2,lái xe,có thêm nhiều mặt hàng đồ uống nước ngọt và đồ uống có cồn như bia đa dạng hơn,,
183300553,3,41,1,1996,2,2,3,kỹ sư,có nhiều chương trình khuyến mãi giảm giá sản phẩm,,
183301033,4,61,1,1996,2,1,2,công nhân,siêu thị mini thì chuẩn bị thêm nhiều thực đơn thức ăn nhanh vào buổi sáng  cửa hàng tạp hóa thì đồ trưng bày gọn gàng hơn để bắt mắt hơn,,
183301034,4,61,1,1982,4,2,2,tự kinh doanh,cần thêm nhiều nhân viên thanh toán hơn,,
183301325,1,13,1,2008,1,1,1,học sinh,ko,,
183301372,1,12,1,2000,2,1,1,nhân viên văn phòng,không có,,
183302014,2,66,2,2005,1,1,1,Học Sinh,không có,,
183303243,1,12,2,1985,3,2,1,may gia công,không có,,
183304861,3,25,1,2006,1,1,2,Học sinh,"chỗ ngồi chật nên giờ tan học đông không có chỗ ngồi, chỗ để xe chật",,
183305605,3,25,1,2007,1,1,3,học sinh,không có,vì tích điểm nhận quà là món nước có hương vị  tôi  thích,"chương trình có quà tặng thực tế, hay có chương trình mua 2 tặng 1 với các món nước"
183305946,1,3,2,1971,5,1,1,may mặc,không có,,
183305947,1,3,2,1964,5,1,1,nội trợ,nhân viên không vui vẻ,,
183305948,1,3,2,1974,4,2,1,thợ may,không có,,
183305949,1,1,2,1990,3,1,1,công nhân,không có,,
183305950,1,3,1,1997,2,1,2,thợ chụp hình,không có,,
183305951,1,3,1,2004,1,1,2,tự do,"nhân viên nên làm việc nhanh hơn,tươi vui hơn",luôn có các ưu đãi như giảm giá nhiều mặt hàng.mua 1 tặng 1 hay được tích điểm nhận ưu đãi về sau,tôi chỉ mua 1 cửa hàng nên cần tham gia khách hàng thân thiết để nhận ưu đãi nhiều
183305952,1,1,1,1996,2,1,1,nhân viên,không có,,
183305953,1,1,1,2003,2,1,1,nhân viên,không có,,
183305954,1,1,1,2000,2,1,2,thợ sửa xe,không có,,
183305955,1,1,1,1984,3,2,2,tự kinh doanh,không có,,
183306428,3,53,1,1993,3,2,3,lao động tự do,không có,,
183306429,3,54,1,1994,2,1,3,nhân viên văn phòng,không có,,
183306430,3,54,1,2005,1,1,2,học sinh,"không gian rộng hơn, trưng bày được nhiều sản phẩm hơn",,
183306702,3,25,1,2003,2,1,3,Sinh viên,nhiều bàn ghế để ngồi ăn tại chỗ hơn,,
183309442,3,25,2,2000,2,1,2,công nhân,không có,vì điểm tích trên mỗi lần mua hàng qui đổi ra tiền mặt giá trị ít,tích điểm trên hóa đơn giúp dễ dàng đạt được khuyến mại
183321602,2,66,1,2008,1,1,3,học sinh,không co,,
183321603,2,66,2,1990,3,1,4,nhan vien van phong,không co,duoc ap dung khuyen mai nhieu hon,"co nhieu mat hang thiet yeu hon, khuyen mai nhieu hin"
183323210,2,66,1,1981,4,2,4,kinhbdoanh,khpong có,,
183324882,3,54,2,2001,2,1,2,kinh doanh quần áo,không có,,
183328396,2,66,2,1987,3,2,3,buôn ban,khong co,,
183328446,2,66,2,2004,1,1,3,sinh viên,có thêm nhiều mặt hàng về đồ ăn và thức uống hơn,,
183328447,2,66,2,2004,1,1,3,sinh viên,nhân viên thao tác thanh toán nhanh hơn hoặc có hệ thống thanh toán tự động bằng mã QR,vì sẽ được tích điểm nhiều hơn và nhận nhiều chương trình khuyến mãi giảm giá hơn,"nhận được nhiều chương trình khuyến mãi thường xuyên, nhận được số điểm tương đương với số tiền bỏ ra"
183328448,2,66,1,1980,4,2,4,bác sĩ,có thêm nhiều chương trình khuyến mãi và giao hàng tận nhà,,
183328449,2,66,2,1983,4,2,4,nội trợ,có thêm nhân viên hoặc quầy tính tiền để thanh toán nhanh hơn,,
183328450,2,66,2,2003,2,1,3,sinh viên,không có,,
183328451,2,66,2,1995,2,2,3,giáo viên,không có,,
183328452,2,66,1,2001,2,1,3,sinh viên,có chỗ sạc pin,,
183328453,2,66,1,1985,3,2,3,công nhân,nhân viên thanh toán nhanh hơn hoặc có hệ thống thanh toán tự động,,
183329775,4,56,2,1967,5,2,3,Buôn bán,nhiều mặt hàng đa dạng hơn  có nhiều chương trình khuyến mãi như tặng quà cho khách hàng mua thường xuyên vào cuối năm,,
183330298,2,66,1,1993,3,2,3,tài xế,có chỗ ngồi lại vào ban đêm,,
183331180,3,25,2,1987,3,2,3,kế toán,"không có nhân viên trông xe, chỗ để xe không có",,
183331270,4,56,2,1994,2,2,3,nội trợ,nhiều mặt hàng hơn,,
183331780,4,56,1,2005,1,1,2,Học sinh,"trưng bày gọn gàng, sạch sẽ, dễ nhìn thấy hơn  giá cả ổn định hơn",,
183332350,4,59,1,1985,3,2,2,thợ điện lạnh,"sản phẩm bày bán dễ nhìn thấy hơn, để theo khu vực của từng dòng sản phẩm , ví dụ như dầu gội thì để riêng 1 khu có nhiều nhãn hiệu để lựa chọn",,
183332351,4,59,1,1996,2,2,3,thợ điêu khắc đá,nhiều khi sữa tươi mua cho con hay bị hết hàng như sữa tươi TH truemilk,,
183332680,3,54,1,2005,1,1,2,học sinh,thêm bàn thu ngân để không chờ thanh toán lâu,,
183332786,4,55,1,1995,2,1,2,cơ khí,cần bán thêm nhiều mặt hàng hơn và bán nhiều thương hiệu hơn nữa .,,
183333009,4,56,1,2005,1,1,2,sinh viên,"cửa hàng tạp hóa hạn chế trong phương thức thanh toán, chủ yếu thanh toán bằng tiền mặt",các ưu đãi khi tích điểm cũng không nhiều nên không ảnh hưởng đến việc mua hàng.,"nhân viên bán hàng thân thiện, không gian tại Winmart thoáng mát, rộng rãi, bố trí hàng hóa dễ nhìn, bắt mắt."
183333010,4,56,1,1994,2,1,2,nhân viên kinh doanh,nhiều mặt hàng như kem cạo râu thường ở tạp hóa không có bán,,
183333011,4,56,2,2004,1,1,2,sinh viên,các sản phẩm tươi sống nhanh hết hàng.,nhu cầu mua hàng cố định cho các mặt hàng nhu cầu thiết yếu nên cũng không có nhu cầu chi tiêu nhiều hơn,"nhân viên bán hàng thân thiện, không gian trưng bày rộng rãi"
183333012,4,56,2,1983,4,2,3,nội trợ,"các mặt hàng tươi sống hoặc rau xanh thường không đa dạng, hay hết hàng",,
183333013,4,56,1,2000,2,1,2,nhân viên tại sân bay,"mua tạp hóa thường bị giới hạn hình thức thanh toán, hầu hết chỉ dùng tiền mặt",,
183333203,2,66,1,1997,2,1,3,công nhân,khong co,,
183334249,1,12,2,1993,3,2,2,nhân viên văn phòng xây dựng,không có,,
183334422,2,66,2,1988,3,2,2,NVVP,không có,,
183334517,3,53,1,1972,5,2,2,Công Nhân Xây dựng,cửa hàng có không gian rộng rãi hơn nên trưng bày sản phẩm dễ nhìn hơn,,
183334887,2,66,2,1982,4,2,1,Buôn Bán Quần Áo,Không có,,
183335070,4,56,2,1992,3,2,3,nội trợ,"phục vụ nhanh hơn,thanh toán nhanh hơn",,
183335071,4,56,2,1983,4,2,3,nội trợ,không có,,
183335072,4,56,2,2002,2,1,2,sinh viên,"thanh toán nhanh hơn,có nhiều hình thức thanh toán",,
183335073,4,56,1,2003,2,1,3,sinh viên,không có,,
183335183,3,41,1,1977,4,2,3,tự kinh doanh,Không có,,
183335184,3,41,2,2008,1,1,2,học sinh,Không có,,
183335185,3,41,1,2004,1,1,3,sinh viên,Không có,,
183335190,3,54,2,1994,2,2,4,tự kinh doanh,không có,,
183335317,4,61,2,2004,1,1,3,sinh viên,không có,,
183335318,4,61,1,1972,5,2,2,công nhân,không có,,
183335683,3,54,2,2004,1,1,3,sinh viên,"có thêm nhiều chương trình giảm giá, mua 1 tặng 1 đồ uống cho khách hàng thân thiết",,
183335777,4,56,2,1994,2,2,3,nội trợ,"đa dạng hình thức thanh toán hơn như có quẹt thẻ, chuyển khoản, Vnpay...",,
183336089,2,66,1,1994,2,2,2,NVVP,không có,,
183336276,4,56,1,2004,1,1,1,Sinh viên,"có thêm nhiều mặt hàng hơn, nhiều chủng loại hơn",,
183336290,3,54,2,1983,4,2,3,tự kinh doanh,không có,mua nhiều hàng sẽ được hưởng chiết khấu cao và giảm giá nhiều nên tôi chọn,chương trình ưu đãi của siêu thị giành cho khách hàng
183336428,4,59,2,2004,1,1,3,sinh viên,"vì là siêu thị mini và cửa hàng tạp hóa nên thường có không gian nhỏ, nên tôi mong muốn cải thiện là có không gian rộng rãi hơn , thoáng hơn",,
183336429,4,59,2,1994,2,2,3,nhân viên văn phòng,"cửa hàng tạp hoá nên có thêm dịch vụ dễ dàng lựa chọn thanh toán hơn, như chuyển khoản hay quẹt thẻ",,
183336430,4,59,2,1976,4,2,3,thợ may,"nhân viên bán hàng vui vẻ, niềm nở hơn",,
183336586,2,66,1,2006,1,1,1,Học Sinh,không có,,
183336630,3,54,1,1990,3,2,3,nhân viên bảo hiểm,lối đi giữa các quầy rộng hơn,,
